City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vilyuchinsk,52.9306,158.4028,22.15,50,79,1.21,RU,1686531779
84,selfoss,63.9331,-20.9971,7.8,84,100,3.27,IS,1686531779
85,mossel bay,-34.1831,22.146,14.96,64,94,6.57,ZA,1686531780
86,pervomayskoye,43.919,46.7102,19.65,88,8,2.34,RU,1686531780
87,san antonio de pale,-1.4014,5.6325,24.75,86,100,5.39,GQ,1686531780
88,udachny,66.4167,112.4,1.92,80,31,6.31,RU,1686531780
89,debila,33.5167,6.95,29.04,42,0,3.09,DZ,1686531780
90,arraial do cabo,-22.9661,-42.0278,22.43,77,0,3.72,BR,1686531725
91,sena madureira,-9.0656,-68.6569,24.31,90,66,1.4,BR,1686531781
92,soba,10.9813,8.0575,21.33,91,100,3.17,NG,1686531782
93,bereznik,62.8551,42.7072,6.05,81,25,1.81,RU,1686531782
94,weno,7.4515,151.8468,30.97,74,75,4.63,FM,1686531782
95,longyearbyen,78.2186,15.6401,2.91,81,75,9.77,SJ,1686531782
96,nova vicosa,-17.8919,-39.3719,23.22,85,42,4.32,BR,1686531682
97,nagqu,31.5,92.0,5.93,61,44,3.43,CN,1686531783
98,daru,-9.0763,143.2092,26.84,84,100,6.42,PG,1686531783
99,kavieng,-2.5744,150.7967,29.2,73,64,6.31,PG,1686531783
100,fisterra,42.9049,-9.2629,16.12,89,100,4.6,ES,1686531784
101,dryden,49.7833,-92.7503,22.16,35,40,2.06,CA,1686531784
102,mandera,3.9366,41.867,25.33,65,49,5.98,KE,1686531739
103,paracale,14.2804,122.7881,30.75,69,93,5.12,PH,1686531784
104,zag,46.9441,99.165,19.01,44,50,1.18,MN,1686531784
105,cobija,-11.0267,-68.7692,24.58,83,11,1.08,BO,1686531784
106,cojasca,44.7167,25.85,17.92,89,15,2.84,RO,1686531785
107,karratha,-20.7377,116.8463,22.44,28,0,6.77,AU,1686531785
108,catemaco,18.4167,-95.1167,28.14,73,85,2.41,MX,1686531785
109,kirensk,57.7853,108.1119,13.1,57,44,3.42,RU,1686531785
110,hermanus,-34.4187,19.2345,12.67,82,4,8.58,ZA,1686531785
111,st. john's,47.5649,-52.7093,8.21,97,100,8.75,CA,1686531600
112,la gi,10.6667,107.7833,28.3,76,100,3.85,VN,1686531786
113,fort mcmurray,56.7268,-111.381,28.77,29,0,8.23,CA,1686531607
114,punta arenas,-53.15,-70.9167,2.84,86,98,10.21,CL,1686531122
115,beloretsk,53.9631,58.3981,6.98,64,100,1.22,RU,1686531786
116,cambria,35.5641,-121.0808,19.75,78,67,2.37,US,1686531598
117,salinopolis,-0.6136,-47.3561,26.24,85,7,4.76,BR,1686531787
118,trat,12.5,102.5,25.26,95,100,1.3,TH,1686531787
119,gadzhiyevo,69.2551,33.3362,8.06,90,100,10.12,RU,1686531787
120,goundi,9.3627,17.366,25.16,81,100,0.84,TD,1686531788
121,enewetak,11.3474,162.3373,28.02,80,91,7.7,MH,1686531788
122,holualoa,19.6228,-155.9522,25.91,87,100,4.12,US,1686531788
123,college,64.8569,-147.8028,18.66,41,100,3.6,US,1686531608
124,polyarnyy,69.1989,33.4478,7.96,91,100,10.2,RU,1686531788
125,bumba,2.1833,22.4667,22.74,83,85,0.77,CD,1686531788
126,posto fiscal rolim de moura,-13.0833,-62.2667,23.53,86,7,1.2,BR,1686531789
127,greymouth,-42.4667,171.2,11.64,72,72,2.07,NZ,1686531789
128,port alfred,-33.5906,26.891,17.98,36,50,6.44,ZA,1686531789
129,al 'amarah,31.8406,47.1396,34.42,17,0,4.94,IQ,1686531789
130,horawala junction,6.4809,80.1271,25.67,92,100,2.18,LK,1686531789
131,nakanojomachi,36.5833,138.85,24.2,77,100,0.45,JP,1686531790
132,akom ii,2.7833,10.5667,20.81,99,100,0.66,CM,1686531790
133,port mathurin,-19.6833,63.4167,24.74,73,1,7.83,MU,1686531790
134,syktyvkar,61.6764,50.8099,5.85,75,0,2.0,RU,1686531790
135,invercargill,-46.4,168.35,10.06,83,88,4.42,NZ,1686531769
136,quellon,-43.1167,-73.6167,8.14,81,100,3.6,CL,1686531791
137,cuito,-12.3833,16.9333,13.66,44,95,1.62,AO,1686531737
138,krasnoarmeysk,51.0239,45.6969,11.8,64,100,9.68,RU,1686531791
139,uturoa,-16.7333,-151.4333,26.76,71,12,6.8,PF,1686531791
140,kuanda,56.3161,116.0806,22.83,58,100,4.26,RU,1686531791
141,port lincoln,-34.7333,135.8667,15.27,60,99,7.33,AU,1686531791
142,kyzylorda,44.8528,65.5092,19.01,27,0,5.0,KZ,1686531792
